video_id,title,published_at,duration,viewCount,likeCount,commentCount,engagement_total,tags
mUHg7LtTxVw,RANGGA & CINTA KINI DI PAWAGAM MALAYSIA,2025-11-06 03:05:05,PT2M8S,2311,58,1,59,"grand,brilliance"
8g3DOIW_fgE,RANGGA & CINTA FINAL TRAILER (DI PAWAGAM MALAYSIA 6 NOVEMBER 2025),2025-10-28 02:27:36,PT1M32S,1608,39,4,43,"grand,brilliance"
UXlbhMNkzz4,DI SEBALIK TABIR QIFARAH | DI PAWAGAM 9 OKTOBER 2025,2025-10-05 12:53:19,PT23M40S,23667,333,58,391,"grand,brilliance"
-yOEf2IYyTI,OFFICIAL TRAILER | QIFARAH 9 OKTOBER 2025,2025-09-19 13:00:02,PT1M37S,70123,750,141,891,"Qifarah,primeworks,horror,seram"
uYcjKirEdEs,TEASER TRAILER | QIFARAH 9 OKTOBER 2025,2025-09-11 13:03:17,PT30S,6871,89,18,107,"grand,brilliance"
np50CI4NlD8,TRAILER RASMI SORE: ISTRI DARI MASA DEPAN DI PAWAGAM MALAYSIA 25 SEPTEMBER 2025,2025-09-01 13:01:33,PT2M7S,5840,97,33,130,
0SK6D_iurzM,BLOOD BROTHERS: BARA NAGA - Traffic Jam Gun Fight,2025-05-08 11:54:38,PT15S,56292,263,38,301,"grand,brilliance"
pGCDWY2CZaQ,BLOOD BROTHERS : BARA NAGA - Bluetooth Connected!,2025-05-07 09:01:20,PT23S,36178,438,21,459,"grand,brilliance"
VaaRVn4haQc,BLOOD BROTHERS: BARA NAGA - Ariff Rooftop Fight,2025-05-06 09:10:25,PT18S,52515,597,72,669,
UhbG-F5oIDU,BLOOD BROTHERS : BARA NAGA - Abang Jambang vs Ah Long.,2025-05-05 09:15:04,PT31S,116481,756,82,838,"grand,brilliance"
OrdQCnNN4zE,"BLOOD BROTHERS : BARA NAGA - ""Dulu ditindas, sekarang di atas""",2025-05-04 12:06:49,PT56S,40776,506,45,551,"grand,brilliance"
E7qgByYGShg,"BLOOD BROTHERS : BARA NAGA - Assalamualaikum, Boom!",2025-05-03 12:03:08,PT14S,47899,523,80,603,"grand,brilliance"
jbyZ8aFGRM4,BLOOD BROTHERS : BARA NAGA - Ariff vs Ghaz showdown.,2025-05-02 05:00:42,PT51S,74646,800,147,947,"grand,brilliance"
SrjOqcd-F-M,"BLOOD BROTHERS : BARA NAGA - Ariff vs Malik, Rooftop Fight",2025-04-29 13:00:53,PT26S,65722,661,50,711,"grand,brilliance"
By5rGQBMRn4,BLOOD BROTHERS : BARA NAGA - Jaki P.I.,2025-04-28 12:55:00,PT27S,18358,193,23,216,"grand,brilliance"
Fjc_1Zdp9Pc,BLOOD BROTHERS : BARA NAGA - Asam Kasi Kaw!,2025-04-25 12:00:33,PT21S,58173,547,52,599,"grand,brilliance"
